BILL_CUSTOMER_SID,recency,frequency,monetary,rolling_freq,rolling_monetary,freq_trend,monetary_trend,cluster
25587.0,99,51,14845.98,51.0,14845.98,,,1
25842.0,104,3,498.56,3.0,498.56,,,1
26131.0,100,11,5435.72,11.0,5435.72,,,1
26414.0,111,2,386.16,2.0,386.16,,,1
26475.0,111,4,470.15999999999997,4.0,470.15999999999997,,,1
26497.0,105,2,1203.06,2.0,1203.06,,,1
26522.0,98,30,39418.77,30.0,39418.77,,,1
26528.0,100,3,-157.85000000000008,3.0,-157.85000000000008,,,1
26565.0,111,11,20345.36,11.0,20345.36,,,1
27187.0,112,1,628.32,1.0,628.32,,,1
27256.0,100,3,15726.6,3.0,15726.6,,,1
27428.0,104,1,3851.52,1.0,3851.52,,,1
27442.0,111,15,3732.92,15.0,3732.92,,,1
27564.0,99,1,7694.1,1.0,7694.1,,,1
27669.0,105,2,607.2,2.0,607.2,,,1
27681.0,101,4,7400.0,4.0,7400.0,,,1
27834.0,104,4,3388.52,4.0,3388.52,,,1
27866.0,106,1,3704.0,1.0,3704.0,,,1
27870.0,104,4,3525.19,4.0,3525.19,,,1
27930.0,101,2,7596.8,2.0,7596.8,,,1
28367.0,108,2,1061.6299999999999,2.0,1061.6299999999999,,,1
28502.0,105,3,986.96,3.0,986.96,,,1
28510.0,100,3,785.78,3.0,785.78,,,1
28511.0,100,19,16000.19,19.0,16000.19,,,1
28631.0,100,5,11525.24,5.0,11525.24,,,1
28635.0,98,5,420.76,5.0,420.76,,,1
29396.0,112,2,2714.02,2.0,2714.02,,,1
29734.0,105,8,671.6,8.0,671.6,,,1
30185.0,99,2,261.24,2.0,261.24,,,1
30238.0,107,3,2433.29,3.0,2433.29,,,1
30420.0,98,28,22912.61,28.0,22912.61,,,1
30494.0,101,14,3778.41,14.0,3778.41,,,1
30517.0,378,1,16.63,1.0,16.63,,,2
30663.0,98,1,593.4,1.0,593.4,,,1
30716.0,101,3,66.8,3.0,66.8,,,1
30902.0,107,12,4297.16,12.0,4297.16,,,1
30988.0,107,8,11784.0,8.0,11784.0,,,1
31065.0,101,1,314.16,1.0,314.16,,,1
31112.0,107,7,1768.72,7.0,1768.72,,,1
31478.0,100,1,9668.0,1.0,9668.0,,,1
31599.0,98,104,68509.08,104.0,68509.08,,,1
31681.0,101,3,1328.26,3.0,1328.26,,,1
31686.0,112,2,697.07,2.0,697.07,,,1
31710.0,98,9,3967.77,9.0,3967.77,,,1
31922.0,105,7,4869.2300000000005,7.0,4869.2300000000005,,,1
32188.0,97,10,66455.52,10.0,66455.52,,,1
32247.0,98,62,3629.23,62.0,3629.23,,,1
32636.0,98,30,5000.2,30.0,5000.2,,,1
32693.0,100,9,6797.75,9.0,6797.75,,,1
32722.0,105,11,1253.7,11.0,1253.7,,,1
32723.0,98,6,101813.46,6.0,101813.46,,,1
32783.0,101,7,1943.1599999999999,7.0,1943.1599999999999,,,1
32824.0,100,5,4935.35,5.0,4935.35,,,1
32964.0,100,5,4569.0,5.0,4569.0,,,1
33001.0,69,190,91219.42,95.0,45609.71,-0.972972972972973,-1.0,1
33047.0,108,22,45469.0,22.0,45469.0,,,1
33091.0,99,3,1129.58,3.0,1129.58,,,1
33093.0,100,5,14418.109,5.0,14418.109,,,1
33109.0,100,28,5977.030000000001,28.0,5977.030000000001,,,1
33159.0,98,2,2633.6,2.0,2633.6,,,1
33201.0,108,3,11966.78,3.0,11966.78,,,1
33284.0,108,3,4884.780000000001,3.0,4884.780000000001,,,1
33455.0,99,4,4921.0,4.0,4921.0,,,1
33495.0,108,2,40000.0,2.0,40000.0,,,1
33623.0,107,2,5276.85,2.0,5276.85,,,1
33640.0,100,2,3533.2,2.0,3533.2,,,1
33667.0,100,1,5149.8,1.0,5149.8,,,1
33738.0,98,2,13511.619999999999,2.0,13511.619999999999,,,1
33812.0,108,2,326.1,2.0,326.1,,,1
34081.0,111,2,-389.2,1.0,-194.6,0.0,-7.088912133891213,1
34090.0,111,2,-6200.0,2.0,-6200.0,,,1
34288.0,101,8,377.65,8.0,377.65,,,1
34437.0,104,2,1445.04,2.0,1445.04,,,1
35103.0,100,17,14780.039999999999,17.0,14780.039999999999,,,1
35143.0,111,1,0.0,1.0,0.0,,,1
35224.0,101,1,-59.23,1.0,-59.23,,,1
35299.0,97,27,-36721.53,27.0,-36721.53,,,1
35455.0,112,2,344.76,2.0,344.76,,,1
