CUSTOMER_ID,TOTAL_REVENUE,CLUSTER,SEGMENT
132.0,7378.9,2,Segment 8
133.0,354.3,2,Segment 8
134.0,461510.2343,3,Segment 4
137.0,644954.069,4,Segment 3
140.0,116742.28,0,Segment 6
142.0,55484.0,7,Segment 7
143.0,2212589.5885,1,Segment 1
147.0,235590.8712,6,Segment 5
151.0,305.8,2,Segment 8
154.0,7096.2,2,Segment 8
169.0,897.28,2,Segment 8
207.0,5627.36,2,Segment 8
208.0,3521.82,2,Segment 8
214.0,182956.84,6,Segment 5
234.0,17063.34,2,Segment 8
236.0,98829.65,0,Segment 6
238.0,-224.52,2,Segment 8
240.0,9677.25,2,Segment 8
249.0,152009.4,0,Segment 6
261.0,-71.86,2,Segment 8
263.0,10427.21,2,Segment 8
265.0,122650.13,0,Segment 6
275.0,281.26,2,Segment 8
299.0,19321.75,2,Segment 8
303.0,38362.29,7,Segment 7
308.0,4653.04,2,Segment 8
317.0,565.0,2,Segment 8
322.0,10241.26,2,Segment 8
330.0,179823.02,6,Segment 5
349.0,44385.09,7,Segment 7
352.0,48011.78,7,Segment 7
368.0,715.93,2,Segment 8
374.0,28648.89,7,Segment 7
381.0,5611.51,2,Segment 8
382.0,188563.08,6,Segment 5
384.0,4351.39,2,Segment 8
411.0,10808.619999999999,2,Segment 8
412.0,-203.33,2,Segment 8
417.0,52662.93,7,Segment 7
438.0,63805.86,7,Segment 7
444.0,480.7,2,Segment 8
460.0,-71.02,2,Segment 8
474.0,-76.72,2,Segment 8
481.0,5934.18,2,Segment 8
545.0,8055.68,2,Segment 8
556.0,375.98,2,Segment 8
557.0,20607.75,2,Segment 8
559.0,24573.69,2,Segment 8
577.0,2149.0,2,Segment 8
580.0,2426.5299999999997,2,Segment 8
585.0,4856.86,2,Segment 8
608.0,37844.88,7,Segment 7
648.0,-111.84,2,Segment 8
654.0,3240.0,2,Segment 8
670.0,6135.59,2,Segment 8
683.0,3739.21,2,Segment 8
687.0,6621.76,2,Segment 8
690.0,-618.69,2,Segment 8
692.0,19782.19,2,Segment 8
698.0,449.34999999999997,2,Segment 8
699.0,10880.84,2,Segment 8
709.0,168545.51,0,Segment 6
714.0,-2227.71,2,Segment 8
744.0,5.72,2,Segment 8
747.0,72.18,2,Segment 8
750.0,3260.96,2,Segment 8
755.0,1985.93,2,Segment 8
761.0,1080.07,2,Segment 8
772.0,787.76,2,Segment 8
775.0,11879.029999999999,2,Segment 8
781.0,4254.45,2,Segment 8
800.0,19152.95,2,Segment 8
802.0,1596.02,2,Segment 8
817.0,6250.68,2,Segment 8
848.0,3988.5600000000004,2,Segment 8
868.0,5237.52,2,Segment 8
871.0,828.4399999999999,2,Segment 8
872.0,35666.1,7,Segment 7
891.0,40343.5,7,Segment 7
898.0,4704.15,2,Segment 8
904.0,9949.97,2,Segment 8
906.0,4963.48,2,Segment 8
920.0,556.12,2,Segment 8
927.0,30319.989999999998,7,Segment 7
932.0,897.3299999999999,2,Segment 8
933.0,0.0,2,Segment 8
951.0,-926.59,2,Segment 8
954.0,4265.49,2,Segment 8
956.0,-2.53,2,Segment 8
980.0,1114.67,2,Segment 8
994.0,92609.82,0,Segment 6
995.0,7593.91,2,Segment 8
1003.0,17493.71,2,Segment 8
1032.0,14031.9,2,Segment 8
1037.0,13076.19,2,Segment 8
1042.0,7085.23,2,Segment 8
1043.0,46293.060000000005,7,Segment 7
1058.0,0.0,2,Segment 8
1065.0,11011.85,2,Segment 8
1069.0,1840.44,2,Segment 8
1081.0,-553.79,2,Segment 8
1098.0,3787.5,2,Segment 8
1123.0,5212.13,2,Segment 8
1124.0,3515.21,2,Segment 8
1137.0,4850.18,2,Segment 8
1140.0,302.05,2,Segment 8
1141.0,3960.18,2,Segment 8
1147.0,-68.03,2,Segment 8
1154.0,9465.14,2,Segment 8
1159.0,7898.85,2,Segment 8
1181.0,3995.2,2,Segment 8
1191.0,1674.8899999999999,2,Segment 8
1302.0,5420.15,2,Segment 8
1317.0,18901.36,2,Segment 8
1324.0,9720.54,2,Segment 8
1335.0,775.01,2,Segment 8
1339.0,4402.58,2,Segment 8
1342.0,4052.08,2,Segment 8
1357.0,8909.710000000001,2,Segment 8
1368.0,18630.82,2,Segment 8
1373.0,4457.42,2,Segment 8
1380.0,12779.99,2,Segment 8
1390.0,7911.150000000001,2,Segment 8
1395.0,3666.09,2,Segment 8
1398.0,5110.2,2,Segment 8
1403.0,4481.360000000001,2,Segment 8
1404.0,10820.18,2,Segment 8
1405.0,1143.5699999999997,2,Segment 8
1435.0,6224.820000000001,2,Segment 8
1440.0,202.39999999999998,2,Segment 8
1446.0,-265.9,2,Segment 8
1450.0,60.15,2,Segment 8
1459.0,1208.4,2,Segment 8
1460.0,1632.0900000000001,2,Segment 8
1465.0,26208.9,2,Segment 8
1471.0,12430.189999999999,2,Segment 8
1482.0,-981.36,2,Segment 8
1483.0,33068.77,7,Segment 7
1492.0,-500.0,2,Segment 8
1499.0,13853.2,2,Segment 8
1510.0,5605.26,2,Segment 8
1520.0,15018.109999999999,2,Segment 8
1536.0,38846.76,7,Segment 7
1537.0,296183.56,6,Segment 5
1539.0,1629.48,2,Segment 8
1542.0,18396.85,2,Segment 8
1547.0,68.76,2,Segment 8
1551.0,9133.05,2,Segment 8
1562.0,6385.24,2,Segment 8
1570.0,15931.84,2,Segment 8
1583.0,0.0,2,Segment 8
1593.0,11952.96,2,Segment 8
1615.0,7555.96,2,Segment 8
1621.0,3192.34,2,Segment 8
1634.0,12868.84,2,Segment 8
1644.0,20745.38,2,Segment 8
1664.0,420.78,2,Segment 8
1671.0,19409.989999999998,2,Segment 8
1681.0,8485.2,2,Segment 8
1687.0,-657.04,2,Segment 8
1690.0,480.90999999999997,2,Segment 8
1704.0,243.37,2,Segment 8
1706.0,14790.599999999999,2,Segment 8
1725.0,11353.41,2,Segment 8
1730.0,163.49,2,Segment 8
1758.0,564.0799999999999,2,Segment 8
1765.0,0.0,2,Segment 8
1768.0,34450.97,7,Segment 7
1781.0,10538.57,2,Segment 8
1782.0,3702.69,2,Segment 8
1787.0,67179.89,7,Segment 7
1817.0,279.44,2,Segment 8
1826.0,25826.12,2,Segment 8
1830.0,35518.66,7,Segment 7
1835.0,711.96,2,Segment 8
1846.0,8008.249999999999,2,Segment 8
1862.0,5538.11,2,Segment 8
1885.0,18936.18,2,Segment 8
1917.0,406.65,2,Segment 8
1956.0,3049.68,2,Segment 8
1959.0,11661.79,2,Segment 8
1960.0,46045.62,7,Segment 7
1965.0,12887.14,2,Segment 8
1985.0,-3500.0,2,Segment 8
2004.0,31783.47,7,Segment 7
2009.0,866.42,2,Segment 8
2018.0,25444.99,2,Segment 8
2026.0,5287.26,2,Segment 8
2027.0,7312.139999999999,2,Segment 8
2051.0,7176.599999999999,2,Segment 8
2063.0,1671.3500000000001,2,Segment 8
2066.0,12053.78,2,Segment 8
2071.0,16650.97,2,Segment 8
2075.0,-7032.88,2,Segment 8
2078.0,21583.21,2,Segment 8
2081.0,6054.09,2,Segment 8
2097.0,45501.0,7,Segment 7
2100.0,7506.83,2,Segment 8
2106.0,4871.75,2,Segment 8
2108.0,492887.3562,3,Segment 4
2117.0,9007.59,2,Segment 8
2125.0,9460.1,2,Segment 8
2139.0,3226.2200000000003,2,Segment 8
2161.0,71337.31,7,Segment 7
2163.0,1303.2399999999998,2,Segment 8
2165.0,699.5999999999999,2,Segment 8
2166.0,10275.38,2,Segment 8
2167.0,27924.36,7,Segment 7
2185.0,205373.53,6,Segment 5
2195.0,11105.66,2,Segment 8
2205.0,1654.74,2,Segment 8
2210.0,-312.73,2,Segment 8
2216.0,23877.760000000002,2,Segment 8
2259.0,4089.28,2,Segment 8
2283.0,397.59000000000003,2,Segment 8
2294.0,8753.89,2,Segment 8
2305.0,5589.44,2,Segment 8
2315.0,1480.32,2,Segment 8
2342.0,12216.19,2,Segment 8
2348.0,4658.29,2,Segment 8
2361.0,6182.96,2,Segment 8
2435.0,4356.59,2,Segment 8
2496.0,4696.33,2,Segment 8
2500.0,728.6400000000001,2,Segment 8
2510.0,10692.77,2,Segment 8
2534.0,12710.26,2,Segment 8
2535.0,9256.81,2,Segment 8
2537.0,2985.57,2,Segment 8
2559.0,9931.32,2,Segment 8
2561.0,2450.0,2,Segment 8
2575.0,204963.07,6,Segment 5
2602.0,0.0,2,Segment 8
2603.0,35382.88,7,Segment 7
2604.0,65701.74,7,Segment 7
2605.0,8165.97,2,Segment 8
2608.0,68657.94,7,Segment 7
2609.0,4032.61,2,Segment 8
2613.0,14993.78,2,Segment 8
2615.0,88513.17,0,Segment 6
